StateName,DistrictName,BlockName,Season,Sector,Category,Crop,Query Type,QueryText,KccAns
UTTAR PRADESH,AGRA,ETMADPUR,,HORTICULTURE,Vegetables,Potato,Plant Protection,Which medicine should be used to control blight in potato?,Mancozeb 75% WP @ 2g per liter water.
UTTAR PRADESH,AGRA,KHERAGARH,,AGRICULTURE,Cereals,Wheat,Government Schemes,Information About PM Kisan Samman Nidhi?,Check status on pmkisan.gov.in under Farmer Corner.
PUNJAB,AMRITSAR,AJNALA,KHARIF,AGRICULTURE,Cereals,Wheat,Plant Protection,How to control yellow rust in wheat?,Spray Tilt (Propiconazole) @ 200 ml in 200 liters of water per acre.
UTTAR PRADESH,AGRA,SAIYAN,,AGRICULTURE,Cereals,Wheat,Plant Protection,Fertilizer required in wheat?,Apply NPK 18:18:18 @ 500gm per 200 liter water spray.
HARYANA,SIRSA,SIRSA,RABI,HORTICULTURE,Vegetables,Bhindi,Weed Management,Varieties of bhindi?,Punjab-8 and Arka Anamika are recommended.
Punjab,Sample District,Sample Block,Zaid,Agriculture,Disease Management,Mustard,Disease,How to control whitefly in cotton?,Use Thiamethoxam 25WG @ 0.25 g/litre of water.
Haryana,Sample District,Sample Block,Zaid,Agriculture,Disease Management,Mustard,Disease,How to treat blight in potato?,Spray Mancozeb 75WP @ 2 g/litre of water.
Punjab,Sample District,Sample Block,Rabi,Agriculture,Disease Management,Maize,Disease,How to control aphids in mustard?,Spray Imidacloprid 17.8% SL @ 0.3 ml/litre of water.
Uttar Pradesh,Sample District,Sample Block,Rabi,Agriculture,Government Scheme,Rice,Disease,How to apply for PM Kisan scheme?,Apply via pmkisan.gov.in with Aadhaar and bank details.
Maharashtra,Sample District,Sample Block,Zaid,Agriculture,Fertilizer,Rice,Scheme,How to protect paddy from blast disease?,Apply Tricyclazole fungicide @ recommended dose.
Rajasthan,Sample District,Sample Block,Zaid,Agriculture,Fertilizer,Potato,Fertilizer,Recommended fertilizer for maize?,Apply Urea 25 kg per acre during flowering.
Maharashtra,Sample District,Sample Block,Zaid,Agriculture,Pest Control,Rice,Disease,Treatment for leaf spot in tomato?,Spray Chlorothalonil fungicide weekly.
Punjab,Sample District,Sample Block,Kharif,Agriculture,Fertilizer,Brinjal,Advisory,Best sowing time for wheat?,Sow wheat between October and November.
Punjab,Sample District,Sample Block,Zaid,Agriculture,Disease Management,Mustard,Disease,How to control whitefly in cotton?,Use Thiamethoxam 25WG @ 0.25 g/litre of water.
Haryana,Sample District,Sample Block,Zaid,Agriculture,Disease Management,Mustard,Disease,How to treat blight in potato?,Spray Mancozeb 75WP @ 2 g/litre of water.
Punjab,Sample District,Sample Block,Rabi,Agriculture,Disease Management,Maize,Disease,How to control aphids in mustard?,Spray Imidacloprid 17.8% SL @ 0.3 ml/litre of water.
Maharashtra,Sample District,Sample Block,Rabi,Agriculture,Disease Management,Potato,Advisory,How to treat blight in potato?,Spray Mancozeb 75WP @ 2 g/litre of water.
Madhya Pradesh,Sample District,Sample Block,Zaid,Agriculture,Pest Control,Potato,Advisory,How to treat blight in potato?,Spray Mancozeb 75WP @ 2 g/litre of water.
Madhya Pradesh,Sample District,Sample Block,Rabi,Agriculture,Government Scheme,Maize,Fertilizer,How to control aphids in mustard?,Spray Imidacloprid 17.8% SL @ 0.3 ml/litre of water.
Uttar Pradesh,Sample District,Sample Block,Rabi,Agriculture,Government Scheme,Rice,Disease,How to apply for PM Kisan scheme?,Apply via pmkisan.gov.in with Aadhaar and bank details.
Maharashtra,Sample District,Sample Block,Zaid,Agriculture,Fertilizer,Rice,Scheme,How to protect paddy from blast disease?,Apply Tricyclazole fungicide @ recommended dose.
Uttar Pradesh,Sample District,Sample Block,Zaid,Agriculture,Government Scheme,Mustard,Advisory,How to apply for PM Kisan scheme?,Apply via pmkisan.gov.in with Aadhaar and bank details.
Rajasthan,Sample District,Sample Block,Zaid,Agriculture,Fertilizer,Potato,Fertilizer,Recommended fertilizer for maize?,Apply Urea 25 kg per acre during flowering.
Punjab,Sample District,Sample Block,Zaid,Agriculture,Pest Control,Mustard,Disease,How to control whitefly in cotton?,Use Thiamethoxam 25WG @ 0.25 g/litre of water.
Punjab,Sample District,Sample Block,Rabi,Agriculture,Government Scheme,Mustard,Disease,How to control whitefly in cotton?,Use Thiamethoxam 25WG @ 0.25 g/litre of water.
Madhya Pradesh,Sample District,Sample Block,Zaid,Agriculture,Fertilizer,Maize,Disease,How to control whitefly in cotton?,Use Thiamethoxam 25WG @ 0.25 g/litre of water.
Haryana,Sample District,Sample Block,Rabi,Agriculture,Fertilizer,Tomato,Scheme,How to treat blight in potato?,Spray Mancozeb 75WP @ 2 g/litre of water.
Maharashtra,Sample District,Sample Block,Zaid,Agriculture,Pest Control,Rice,Disease,Treatment for leaf spot in tomato?,Spray Chlorothalonil fungicide weekly.
